TrialNumber,PatternName,TargetJoint1,TargetJoint2,MovementTime,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,Completed
1,Pattern1,42,118,4.002102,0,746.6212,0.7466115,80,0,True
2,Pattern2,-12,24,4.002027,0,233.2968,0.2333006,18,0,True
3,Pattern3,68,155,4.002005,0,804.6857,0.8046874,111.5,0,True
4,Pattern4,0,92,4.004303,0,575.4719,0.5754768,46,0,True
5,Pattern5,-22,47,4.001642,0,424.4356,0.4244383,34.5,0,True
6,Pattern6,55,103,4.000862,0.9542046,0.8141389,0.5573162,56.3257,0,True
7,Pattern7,18,5,4.000462,1.076471,0.2345444,0.08683407,4.787911,0,True
8,Pattern8,-5,129,4.003677,0.6002565,1.203974,0.723695,68.47385,0,True
9,Pattern9,31,81,4.004391,1.23659,0.4956425,0.2868388,24.31054,0,True
10,Pattern10,70,14,4.00333,1.698575,0.5393256,0.1899086,10.68976,0,True
